Voc_V,Jsc_uA_cm2,P_reported_uW_cm2,P_est_uW_cm2,log_P_est,log_P_reported,log_Voc,log_Jsc,mechanism,structure,ion,delta_logP_est_minus_reported
0.19,1.4,0.132,0.0664999999999999,-1.1771718240019096,-0.8794260687941501,-0.721246399047171,0.146128035678238,ion_gradient,porous,proton,-0.2977457552077595
1.0,1.7,0.1,0.425,-0.3716100480815215,-1.0,0.0,0.2304489213782739,ion_gradient,porous,proton,0.6283899519184786
0.56,2.33,0.177,0.3262,-0.4865147119229158,-0.7520267336381934,-0.25181197299379954,0.367355921026019,ion_gradient,porous,other_cation,0.2655120217152776
1.27,2.7,0.86,0.8572500000000001,-0.0668919995997447,-0.06550154875643228,0.10380372095595687,0.43136376415898736,ion_gradient,hydrogel,proton,-0.0013904508433124213
0.61,3.16,1.06,0.4819,-0.3170421724868569,0.02530586526477026,-0.21467016498923297,0.49968708261840383,ion_gradient,film,proton,-0.34234803775162714
0.75,4.0,,0.75,-0.1249381575493767,,-0.12493873660829995,0.6020599913279624,streaming,porous,proton,
0.95,5.0,1.79,1.1875,0.0746339840184191,0.2528530309798932,-0.022276394711152253,0.6989700043360189,ion_gradient,hydrogel,other_cation,-0.17821904696147411
0.83,5.2,0.6,1.079,0.0330218471799269,-0.2218487496163564,-0.08092190762392612,0.7160033436347992,ion_gradient,film,proton,0.2548705967962833
0.8,6.0,,1.2000000000000002,0.0791816079595423,,-0.09691001300805639,0.7781512503836436,ion_gradient,hydrogel,other_cation,
0.019,6.24,0.032,0.02964,-1.5281071486294195,-1.494850021680094,-1.7212463990471711,0.795184589682424,ion_gradient,porous,proton,-0.03325712694932559
0.42,7.6,,0.7979999999999999,-0.0979965644209375,,-0.37675070960209955,0.8808135922807914,ion_gradient,hydrogel,proton,
0.275,7.6,2.1,0.5225,-0.2819128740320925,0.3222192947339193,-0.5606673061697374,0.8808135922807914,ion_gradient,porous,proton,-0.6041321687660117
1.3,7.69,2.5,2.4992500000000004,0.3978098745501945,0.3979400086720376,0.11394335230683679,0.8859263398014311,ion_gradient,film,proton,-0.00013013412184309514
0.78,8.3,0.7,1.6185000000000005,0.2091129720699776,-0.1549019599857432,-0.10790539730951958,0.919078092376074,ion_gradient,porous,other_cation,0.3640149320557208
0.88,9.4,0.2536,2.068,0.315550744428857,-0.5958507507903049,-0.05551732784983137,0.9731278535996987,ion_gradient,hydrogel + porous,other_cation,0.9114014952191619
0.88,10.0,1.36,2.2,0.3424228782287441,0.13353890837021754,-0.05551732784983137,1.0,ion_gradient,porous,proton,0.20888396985852659
0.8,14.25,11.4,2.85,0.4548450123925122,1.0569048513364727,-0.09691001300805639,1.153814864344529,ion_gradient,hydrogel,other_cation,-0.6020598389439605
0.65,15.0,,2.4375,0.386944802542633,,-0.18708664335714442,1.1760912590556813,ion_gradient,hydrogel,other_cation,
0.75,15.0,9.0,2.8125,0.4490926855352072,0.9542425094393249,-0.12493873660829995,1.1760912590556813,ion_gradient,porous,proton,-0.5051498239041177
1.38,16.0,5.52,5.52,0.7419391564057284,0.7419390777291989,0.13987908640123647,1.2041199826559248,ion_gradient,film,proton,7.867652951354387e-08
0.35,16.67,,1.458625,0.1639439505925984,,-0.4559319556497244,1.2219355998280053,ion_gradient,hydrogel,anion,
0.45,18.0,2.02,2.025,0.3064252420170452,0.3053513694466238,-0.3467874862246563,1.255272505103306,ion_gradient,porous,proton,0.001073872570421408
0.57,19.25,0.71,2.743125,0.4382457565100884,-0.14874165128092473,-0.24412514432750865,1.2844307338445196,ion_gradient,porous,proton,0.5869874077910131
0.55,20.0,7.0,2.75,0.4393328517555001,0.8450980400142568,-0.2596373105057561,1.3010299956639813,ion_gradient,porous,other_cation,-0.40576518825875674
0.2,20.6,0.27,1.03,0.0128376463500955,-0.5686362358410126,-0.6989700043360187,1.3138672203691535,ion_gradient,porous,other_cation,0.5814738821911082
1.86,21.8,10.14,10.137,1.0059094893370626,1.0060379549973173,0.26951294421791633,1.3384564936046048,ion_gradient,hydrogel + film,proton,-0.0001284656602547063
0.8,22.0,,4.4,0.6434527751894676,,-0.09691001300805639,1.3424226808222062,ion_gradient,hydrogel,other_cation,
0.2,23.75,0.48,1.1875,0.0746339840184191,-0.3187587626244128,-0.6989700043360187,1.3756636139608853,ion_gradient,hydrogel,other_cation,0.39339274664283186
1.03,23.8,9.12,6.128500000000001,0.7873542612984434,0.9599948383284161,0.012837224705172217,1.376576957056512,ion_gradient,hydrogel + porous,other_cation,-0.1726405770299727
0.52,30.625,10.5,3.98125,0.6000195587643682,1.021189299069938,-0.28399665636520083,1.4860760973725888,ion_gradient,film,other_cation,-0.42116974030556986
0.7,33.9,3.48,5.932499999999999,0.7732378200953514,0.541579243946581,-0.1549019599857432,1.530199698203082,ion_gradient,hydrogel + porous,other_cation,0.2316585761487704
0.47,40.0,,4.699999999999999,0.6720979503387888,,-0.3279021420642826,1.6020599913279623,ion_gradient,porous,other_cation,
0.26,46.37,2.84,3.01405,0.4791505966286419,0.45331834004703764,-0.585026652029182,1.6662370958958044,ion_gradient,porous,other_cation,0.025832256581604263
0.5,49.0,12.43,6.125,0.7871061639417858,1.0944711286416449,-0.3010299956639812,1.6901960800285136,ion_gradient,hydrogel,other_cation,-0.3073649646998591
0.43,62.0,6.7,6.665,0.8238002189103355,0.8260748027008264,-0.36653154442041347,1.792391689498254,ion_gradient,porous,other_cation,-0.002274583790490947
0.91,70.0,9.2,15.925,1.2020794682786262,0.9637878273455552,-0.040958607678906384,1.845098040014257,ion_gradient,hydrogel + porous,other_cation,0.23829164093307098
0.65,72.5,38.88,11.78125,1.0711914087490777,1.589726256254237,-0.18708664335714442,1.8603380065709938,ion_gradient,film,proton,-0.5185348475051592
0.38,100.0,9.5,9.5,0.977723651004054,0.9777236052888477,-0.42021640338318983,2.0,ion_gradient,film,proton,4.571520628715575e-08
0.5,100.0,12.0,12.5,1.0969100477516136,1.0791812460476249,-0.3010299956639812,2.0,ion_gradient,porous,other_cation,0.017728801703988717
0.8,100.0,17.0,20.0,1.3010300173787048,1.2304489213782739,-0.09691001300805639,2.0,ion_gradient,film,proton,0.07058109600043094
0.55,100.0,45.0,13.750000000000002,1.1383027297513335,1.6532125137753437,-0.2596373105057561,2.0,ion_gradient,film,other_cation,-0.5149097840240102
0.8,120.0,13.0,24.0,1.3802112598072092,1.1139433523068367,-0.09691001300805639,2.0791812460476247,ion_gradient,film,proton,0.26626790750037244
0.9,126.0,16.0,28.35,1.4525530785479546,1.2041199826559248,-0.045757490560675115,2.100370545117563,ion_gradient,film,proton,0.24843309589202978
0.88,306.0,51.0,67.32000000000001,1.8281441137549816,1.7075701760979363,-0.05551732784983137,2.48572142648158,ion_gradient,hydrogel,other_cation,0.12057393765704538
1.15,480.0,110.0,138.0,2.1398790895482978,2.041392685158225,0.06069784035361165,2.681241237375587,ion_gradient,porous,proton,0.09848640439007283
0.52,625.0,384.0,81.25,1.909823374996075,2.584331224367531,-0.28399665636520083,2.7958800173440754,ion_gradient,film,proton,-0.674507849371456
0.92,1550.0,88.0,356.5,2.552059535406101,1.9444826721501687,-0.036212172654444715,3.1903316981702914,ion_gradient,film,proton,0.6075768632559324
0.8,1600.0,88.0,320.0,2.505149979677076,1.9444826721501687,-0.09691001300805639,3.2041199826559246,ion_gradient,film,proton,0.5606673075269075
0.73,22.37,1.92,4.082525,0.6109289592680012,0.28330122870354957,-0.1366771398795441,1.3496659840966296,ion_gradient,porous,proton,0.3276277305644516
0.3,0.033,,0.002475,-2.6062493596519194,,-0.5228787452803376,-1.4814860601221125,ion_gradient,porous,other_cation,
